"Watershed","Transect","avg_Weight"
"1D","E",135
"20B","E",126.75
"20B","W",124.105555555556
"4B","E",144.18
"4B","W",136.25
"4F","E",108.96
"4F","W",129.557142857143
"R1A","E",147.966666666667
"R1A","N",115.945454545455
"R1A","S",165.833333333333
"R1A","W",106.488888888889
"R20A","E",121.911111111111
"R20A","W",137
"SpB","E",133.222222222222
"SpB","N",91
"SpB","S",132.5
"SuB","E",120
"SuB","W",113.533333333333
