"DataCode","Rectype","RecYear","Date","Watershed","Transect","TrapStation","Species","SpecimenNo1","SpecimenNo2","VoucherNo","RecaptureStatus","Disposition","TotalLength","TailLength","HFLength","EarLength","Weight","Sex","Age","ReprodCondition","Comments"
"csm08",1,2016,"7/12/2016","4F","E","11","MIOC","",NA,"NK269668","N","V",149,35,13,"21","36.4","M","A","S",""
"csm08",1,2016,"7/13/2016","4F","E","14","MIOC","",NA,"NK269695","N","V",111,25,13,"17","14.3","F","SA","CSN",""
"csm08",1,2016,"7/14/2016","4F","E","14","MIOC","",NA,"NK269725","N","V",111,29,14,"18","15.1","F","SA","CSN",""
"csm08",1,2016,"7/21/2016","4F","W","1","MIOC","272",NA,"","N","R",NA,32,20,"","30","F","A","CSN",""
"csm08",1,2016,"7/22/2016","4F","W","1","MIOC","272",NA,"","Y","R",NA,NA,NA,"","","","","",""
"csm08",1,2016,"7/23/2016","4F","W","1","MIOC","272",NA,"","Y","R",NA,NA,NA,"","","","","",""
"csm08",1,2016,"7/20/2016","4F","W","2","MIOC","274",NA,"","N","R",NA,29,18,"13","18","F","Juv","CSN",""
"csm08",1,2016,"7/22/2016","4F","W","3","MIOC","220",NA,"","N","R",NA,27,18,"","18","M","SA","NS",""
"csm08",1,2016,"7/23/2016","4F","W","8","MIOC","216",NA,"","N","R",NA,32,18,"","","M","A","NS",""
"csm08",1,2016,"7/22/2016","4F","W","10","MIOC","202",NA,"","N","R",NA,30,20,"","34","F","A","CSN",""
"csm08",1,2016,"7/28/2016","R1A","N","8","MIOC","",NA,"NK269824","N","V",144,37,15,"20","40.1","M","A","S",""
"csm08",1,2016,"7/26/2016","R1A","N","10","MIOC","",NA,"NK269766","N","V",128,28,14,"20","22.6","F","JUV","CSN",""
"csm08",1,2016,"7/27/2016","R1A","N","11","MIOC","",NA,"NK269800","N","V",115,27,14,"20","23.2","F","JUV","CSN",""
"csm08",1,2016,"7/26/2016","R1A","N","12","MIOC","",NA,"NK269771","N","V",149,39,15,"21","43","F","SA","CSN",""
"csm08",1,2016,"7/27/2016","R1A","N","13","MIOC","",NA,"NK269801","N","V",145,36,15,"20","33.8","M","A","S",""
