"Watershed","Transect","avg_Weight"
"1D","E",16.1111111111111
"1D","W",16.7909090909091
"20B","E",28
"4B","E",17.3
"4B","W",16
"4F","E",14.85
"4F","W",17.5
"R1A","E",18.75
"R1A","W",15.7
"R20A","W",16
"SpB","E",20.6666666666667
"SpB","N",17.425
"SpB","S",16.7
"SpB","W",15.26
"SuB","E",15.72
